,address,area,city,guest_recommendation,hotel_description,hotel_facilities,latitude,locality,longitude,property_id,property_name,property_type,province,room_count,room_type,site_review_count,site_review_rating,state,uniq_id
21,"Naddi, Dal Lake, Mcleod Ganj",Village Naddi,Mcleodganj,66,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Coffee Shop / Cafe|Children's Park|Room Service (24 Hours),32.2418621,Village Naddi,76.32083465,HTLGBO1000001808,Anupam Resorts,Resort,Mcleodganj,29,Deluxe Room,12,4.1,Himachal Pradesh,5164c283c495b679048fc1eea6b59359
631,"B 3/260, Shivala",Assi Ghat,Varanasi,72,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. Check in and Check out - 12 Noon,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,25.29133237,Assi Ghat,83.00572928,HTLGBO1000011075,Shree Hare Rama Hare Krishna Guest House,Guest House,Varanasi,12,Standard Non AC Room,37,4.0,Uttar Pradesh,f62ca85f35e9f6c439c211fd72f8d985
638,"HISAR ROAD , NR. DELHI POLL SIRSA","Near Delhi Flyover ,Hissar Road",Sirsa,95,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  Hotel palm heights is the most ideally situated hotel with all the luxury and hospitality to make feel at home.,Banquet Facilities|Beauty Salon - on charge|Business Center |Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Wedding Services Facility|Multi Lingual Staff|Exhibit Space|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Conference Facility |Disabled Friendly Rooms|Multi - Line Phone|Wheelchair Accessibility - Room|Massage Services |Smoking Area |Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Express Laundry|Oxygen Cylinder (on request)|Taxi Services|Rooftop Garden| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Party hall|Air / Rail Booking|Courier Service|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|CCTV|Fire Exit Signs|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Hotel Trading License|Pest Control Facility|Porter Services Available|Public Restrooms|Security at All Hotel Entrances|Smoke Detector|Speciality Restaurant |Stamps and Mailing Facility|Suites,29.53183231,"Near Delhi Flyover ,Hissar Road",75.0700167,HTLGBO1000067636,SHIVDEI RESORTS,Hotel,Sirsa,34,Deluxe,82,4.7,Haryana,8e64eb1371d39ad4ba85608304687034
2147,"8-21 , Marudhar Vihar , Khatipura Circle",Station Area/Sindhi Camp,Jaipur,86,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Check-in and Check-out time is 12:00 Noon Early check-in subject to availability. Pets not allowed. Photo and Valid address Id proof authorized by Central Govt. need to be produce at time of Check in at reception for all guest aged above 18.,Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Non Smoking Hotel|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Wake-up Call / Service|Porter / Bellhop|Coffee Shop / Cafe|Conference Facility |Massage Services |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Board Room|Food Facility|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Party hall|Baggage Room|RO Water Purification System|Outdoor Parking - Secured,26.92309104,Station Area/Sindhi Camp,75.74674425,HTLGBO1000008479,Yash Regency,Hotel,Jaipur,45,Regency Deluxe Room,150,4.2,Rajasthan,39e90f0113cd9ce84797305a353a2a0c
108,PRATAP NAGAR OSIAN,Others,Jodhpur,72,The standard check-in time is 02:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly All Rights Reserved with Hotel. Mandatory New year Gala Dinner Charges 3000 INR Per Person directly payable at Hotel.,Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Laundry Service Available|Parking Facilities Available|Pets Allowed|Front Desk|Multi Cuisine Restaurant |Non Smoking Hotel|Local Tour / Travel Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Wedding Services Facility|Suitable For Children|Conference Facility |ATM / Banking|Fire Place Available |Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Village Visit ( Chargeable )|Taxi Services|Board Room|Campfire / Bon Fire|Food Facility| Drivers Rest Room|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Restaurant|Room Service|CCTV|Flower Shop|Public Restrooms|Speciality Restaurant,26.72481115,Others,72.88811317,HTLGBO1000014790,CAMP THAR,Resort,Jodhpur,77,SWISS TENT,25,3.9,Rajasthan,1f2e4a4d96139a5efaaf59c0c0573dcb
1090,"M. G. Road, Near US Pizza, Porbandar",M.G.Road,Porbandar,100,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Laundry Service Available|Lift / Elevator|Locker Facility|Internet Access Free,21.63956862,M.G.Road,69.60997553,HTLGBO1000073312,Hotel Rajdhani,Hotel,Porbandar,3,AC Dormitory,17,4.1,Gujarat,617705933a900a015004f2ef304eca68
2013,"158 Kanchan Bagh opposite Ratlam kothi, Near Gita bhavan square- Indore 452001",Tukoganj,Indore,71,The standard check-in time is 10:00 AM and the standard check-out time is 09:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Check-in time is 10:00 AM and check-out time is 09:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Unmarried couples are Not allowed. Pan card will Not be considered a valid ID proof.,Airport Transfer Available / Surcharge|Banquet Facilities|Doctor on Call|Laundry Service Available|Lift / Elevator|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Power Backup|Audio - Visual Equipment|Catering|Conference Facility |Kitchen available (home cook food on request)|Fire Place Available |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Express Laundry|Board Room|City Shuttle Service|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Party hall|Air / Rail Booking|Baggage Room|Courier Service|Internet / Fax (Reception area only)|RO Water Purification System|Outdoor Parking - Secured|Room Service|Fire Safety|CCTV|Full Time Operation for All 7 Days|Porter Services Available|Public Restrooms|Suites,22.71826201,Tukoganj,75.88209993,HTLGBO1000008823,Hotel Santoor,Hotel,Indore,26,Executive Room A/C,49,3.9,Madhya Pradesh,9e25385c9aef9213eb0c2c48f6c49e5e
700,Near Library Chowk Mall Road Kapurthala Palace,Library Chowk,Mussoorie,80,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Currency Exchange|Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|Power Backup|Fire Place Available |Discotheque |Internet Access Free|Family Room|Party hall|RO Water Purification System|Restaurant|Room Service,30.45992741,Library Chowk,78.05791858,HTLGBO1000004742,Sun N Snow Mussoorie,Hotel,Mussoorie,23,Deluxe Room,215,4.2,Uttarakhand,698a58c9b0dfc1ec0255fc5bac9fca96
116,"Sipasarubali, Baliapanda, Puri, Odisha",Marine Drive,Puri,77,"The standard check-in time is 10:00 AM and the standard check-out time is 08:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly C/in and C/out policy:- The Hotels standard check-in time is 09:00 AM local time. Early check-in is subject to availability.  The Hotels standard check out time is 08:00 AM local time. 50% charges will be applicable until 14:00 hours, and one day charges will be applicable after 14:00 hours. Late check outs will be provided on request subject to availability Compulsory Gala dinner supplement charges on 31st Dec eve @ Rs. 1599/- per person (above 12 yrs) and Rs. 799/- (above 6 yrs) per child need to be paid directly in the hotel at the time of check in.",Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant,19.7876816,Marine Drive,85.7956868,HTLGBO1000000038,Bluelily Beach Resort,Resort,Puri,121,Blue Lily Stand Room,49,4.1,Orissa,d1714124c3c759f58a659241462e19c0
1179,Chandanwari Amarnath Ji Road Pahalgam Anantnag Near masjid sharief  on left side of road,Chandanwari Road,Pahalgam,100,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Unmarried Couples are not allowed,Currency Exchange|Dry Cleaning|Internet Access - Surcharge|Lobby|Multi Cuisine Restaurant |Local Tour / Travel Desk|Newspapers In Lobby,34.0160751,Chandanwari Road,75.3149796,HTLGBO1000010260,Hotel Pahalgam Duke,Hotel,Pahalgam,14,Deluxe Room,3,2.5,Jammu and Kashmir,f37ad4a69e8754c7d4e98971dc66a4ce
81,Marayoor P.O Munnar,Marayoor P.O,Marayoor,45,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|24 Hour Front Desk|Doorman|Power Backup|Express Check-In / Check-Out|Gardens|Car Rental|Kids Play Zone|Food Facility|Newspapers In Lobby|Family Room|Room Service (24 Hours),10.2733958,Marayoor P.O,77.1587239,HTLGBO1000006269,Chandana Annexe,Hotel,Marayoor,14,Standard Room,20,2.7,Kerala,ccebdd2ba182677358d8d3e48cb2abc8
1636,"Pankaj Industrial Estate, 2nd Floor, Near Chandivali Studio, Behind Chandivali Ice Factory,",Powai,Mumbai,71,"The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Guests over 3 years old are considered as adults. Extra beds are dependent on the room you choose, please check the individual room policy for more details.",Internet Access - Surcharge|Lift / Elevator|Parking Facilities Available|Power Backup|Grocery|Kitchen available (home cook food on request)|Vegetarian Food / Jain Food Available|Food Facility|Internet Access Free| Cook Services|Courtesy Coach|Parking Facility,19.1161503,Powai,72.8946032,HTLGBO1000010528,"The Signature Crest,Powai",Service Apartment,Mumbai,10,Executive Room,35,3.5,Maharashtra,bca5cf7e6cefb307f182b8e86c8d923a
1440,"Opp: Bus Stand, J.N Road",J.N Road,Dandeli,0,The standard check-in time is 12:00 PM and the standard check-out time is 10:30 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Rights of Admission reserved. Check in @ 12.00  Early arrival is subject to availability. Check out @ 11.00 Late check outs are available on request and subject to availability,"Airport Transfer Available / Surcharge|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Room Service (24 Hours)|Outdoor Parking - Non Secured",15.2471388,J.N Road,74.6224732,HTLGBO1000030554,Tourist Lodge,Lodge,Dandeli,41,Standard Room,1,2.6,Karnataka,fd9c9d11ebeecb9d06b353b742356dc3
1768,"Renuka lane,Swargadwar,Puri Odisha",Sea Beach Area,Puri,74,"The standard check-in time is 08:00 AM and the standard check-out time is 07:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory supplement on Christmas, New Years eve and other festive periods. Any such supplements need to be paid at the hotel. As per the govt. guidelines valid govt. issued id proofs are required to be presented at the Time of C/in.",Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Gardens|Wedding Services Facility|Conference Facility |Internet Access Free|Room Service (24 Hours),19.8164779,Sea Beach Area,85.8384562,HTLGBO1000011295,Hotel Sai Chandan Residency,Hotel,Puri,28,Double Bed Non A/C Room,51,3.5,Orissa,432c8057ca964b3eff645ff1864f5d21
132,"Near K.S.R.T.C Depo, Behind Lions Club, G.T Road",Madikeri,Coorg,80,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly No Show, Cancellation charges will be 100 % Cost.  within 6 days of checkin, Cancellation charges will be 1 Night Cost.  on and before 7 days of checkin, Cancellation charges will be Rs. 0 Fixed Cost",Business Center |Doctor on Call|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Gardens|Multi Lingual Staff|Wake-up Call / Service|Extra Person / Child - Share the same room|Car Rental|Internet Access Free|Newspapers In Lobby|Guide / Sightseeing Service|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|CCTV|Public Restrooms|Suites,12.4145983,Madikeri,75.7499417,HTLGBO1000021294,Caveri Residency,Hotel,Coorg,13,Deluxe Double Non A/c,105,3.9,Karnataka,5d4c2421c6e952b754e15877b3f1414e
1207,"Railway Road ,Near Union Bank Tohana,",Tohana,Fatehabad,100,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Doctor on Call|Non Smoking Rooms|Parking Facilities Available|Front Desk|24 Hour Front Desk|Smoking Rooms|Extra Person / Child - Share the same room|Adjoining Rooms|Outdoor Parking - Non Secured|Parking Facility|Room Service|Public Restrooms,29.7163129,Tohana,75.9056753,HTLGBO1000085296,HOTEL PARAS,Hotel,Fatehabad,5,Standard Room,1,5.0,Haryana,1a720318f9bfbb5a63ea7a758929140f
